Name,,PrepTime,TotalTime,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredient,AggregatedRating,ReviewCount,Calories,FatContent,,,,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,CookTimeInMinutes
Grand Marnier Cake,,PT40M,PT1H35M,Make and share this Grand Marnier Cake recipe from Food.com.,character(0),Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1"", ""3"", ""1"", ""2"", ""1"", ""1"", ""1"", , ""1/2"", ""3"", ""1/2"", ""1/4"", ""1/3"")","c(""butter"", ""sugar"", ""Grand Marnier"", ""flour"", ""baking soda"", ""baking powder"", ""sour cream"", ""walnuts"", ""sugar"", ""Grand Marnier"")",5,1,641.3,35.8,,,,65.4,1.4,39.1,16.4,8,1,"c(""Cream sugar and butter."", ""Add egg yolks and 1 teaspoon  Grand Marnier."", ""Continue to beat. Sift flour, baking soda and  baking powder."", ""Add flour to mixture with sour cream, beginning  and ending with dry ingredients."", ""Add orange rind, walnuts and  stiff beaten egg whites."", ""Butter and flour an angle food cake  pan."", ""Bake at 350 degrees for 55 minutes."", ""Spoon topping over baked  cake while still in hot pan."", ""Cool and invert onto serving  plate."")",55
Spanish Potato Omelet (Tortilla a la Espanola),,PT40M,PT40M,Make and share this Spanish Potato Omelet (Tortilla a la Espanola) recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/Kiww21BfQbyLiesH7KYW_fooddotcom-jan-2017-25.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/I9R6O1ISQFSmg4RsEDSc_fooddotcom-jan-2017-24.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/J8L98p8lTxl2TcdMOH2J_fooddotcom-jan-2017-22.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/SmQab1ahQV6tBXn2CVkW_fooddotcom-jan-2017-23.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/0/ZdpDS4AVSE2FhnRrZdvH-1004092_10203207387253375_1973910208_n.jpg"")",Breakfast,"c(""Lunch/Scks"", ""Potato"", ""Vegetable"", ""Spanish"", ""European"", ""Low Protein"", ""Free Of..."", ""< 60 Mins"", ""Easy"")","c(""1"", ""4"", ""1"", , ""4"")","c(""olive oil"", ""potatoes"", ""onion"", ""coarse salt"", ""eggs"")",4.5,28,848,59.1,,,,68.3,8.8,4.7,14.2,4,1,"c(""Heat the oil in a 8-9 inch skillet. Add the slices of potato one at a time to avoid sticking together."", ""Alterte layers of potatoes with layers of onions."", ""Cook slowly over medium heat, turning the potatoes until tender, not brown."", ""Drain potatoes in a colander, save oil."", ""Make sure skillet is very clean for later use.  In a bowl, beat eggs with a fork until slightly foamy."", ""Salt to taste.  Add the potatoes, press down to cover potatoes completely with egg.  Return to skillet, heat 2 tablespoons of saved oil until smoking point.  Add the mixture, spread it out. Rapidly, lower the temperature to medium-high."", 
""Shake the pan often to avoid sticking."", ""When the bottom is brown, cover the skillet with a plate, turn skillet up-side down, remove tortilla, slide off plate with uncooked side down into skillet and cook the other side, Turn several times until cooked"")",0
French Pecan Pie,,PT25M,PT55M,Make and share this French Pecan Pie recipe from Food.com.,character(0),Pie,"c(""Dessert"", ""Fruit"", ""Nuts"", ""European"", ""Low Cholesterol"", ""< 60 Mins"", ""Oven"")","c(""3"", ""1"", ""1"", ""22"", ""1"", , )","c(""sugar"", ""vanilla"", ""pecans"", ""German chocolate"")",5,3,207.8,10.2,,,,28.2,1.4,25.8,2.7,8,1,"c(""Beat egg whites until stiff but not dry."", ""Gradually add sugar."", ""Add vanilla, broken crackers and pecans."", ""Bake in a 10-inch buttered pie pan for 30 minutes at 300 degrees Fahrenheit."", ""Cool."", ""Top with sweetened whipped cream (spread over cooled pie)."", ""Garnish with shaved chocolate."")",30
Thai Coconut Chicken Soup,,PT30M,PT30M,Make and share this Thai Coconut Chicken Soup recipe from Food.com.,character(0),Chicken Breast,"c(""Chicken"", ""Poultry"", ""Coconut"", ""Fruit"", ""Nuts"", ""Meat"", ""Thai"", ""Asian"", ""< 30 Mins"")","c(""4"", ""2"", ""1"", ""2"", ""4"", ""1"", ""2"", ""1"")","c(""boneless skinless chicken breast halves"", ""coconut milk"", ""green onions"", ""serrano chilies"", ""m pla"", ""lemongrass"", ""lime"")",5,4,368.9,27.2,,,,6.3,0.9,0.9,27.9,4,1,"c(""Bring 1 cup coconut milk to boil."", ""Add chicken, lemon grass, and Laos."", ""Cover  and simmer til chicken is tender."", ""Add remaining 1 cup coconut milk, green  onions and chilis."", ""DO NOT BOIL."", ""Stir in lime juice and fish sauce just before  serving."")",0
Salt Cod Chowder,,PT1H,PT1H,"Salt cod is used for cooking in Scandivian and Spanish cooking, but isn't very well known in the United States.  Here's a tasty chowder to introduce it to the uninitiated.","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/3/1o1wksRS0aVHRdhmhMtH_codchowder.jpg""",Chowders,"c(""Potato"", ""Vegetable"", ""< 60 Mins"")","c(""1"", ""1/4"", ""1"", ""3"", ""1"", ""3"", ""1"", ""1/2"", ""1"", ""3"")","c(""salt cod fish"", ""fat salt pork"", ""onion"", ""raw potatoes"", ""raw carrot"", ""boiling water"", ""salt"", ""pepper"", ""canned corn niblet"", ""milk"")",5,2,295.6,5,,,,20.8,2.4,2.3,40.7,1,1,"c(""Freshen salt cod by soaking it overnight in cold water to cover."", ""Drain, place in a stewing pot, and cover with fresh water."", ""Bring to simmer with low heat."", ""Check to see if the fish is still too salty - if so, drain, add fresh cold water, and bring to simmer again, and drain."", ""Fry salt pork in stewing pot until crisp; remove fried pork scraps and reserve for garnish."", ""Cook onion in pork fat until tender."", ""Add potatoes, carrots, water, salt, and pepper and cook covered for about ten minutes, or until vegetables are tender."", 
""Add corn or hominy, heated milk, and freshened salt cod."", ""Bring chowder to a simmering temperature, but do not boil."", ""Garnish with the pork scraps."", ""Serve hot, with freshly baked home made bread or rolls and butter."")",0
Thai Fried Bas,,PT20M,PT20M,Make and share this Thai Fried Bas recipe from Food.com.,character(0),Dessert,"c(""Fruit"", ""Thai"", ""Asian"", ""Low Protein"", ""Healthy"", ""Kid Friendly"", ""< 30 Mins"", ""Easy"")","c(""2"", ""1"", ""1"", ""1"")","c(""bas"", ""butter"", ""palm sugar"", ""lime"")",5,2,190.4,6.2,,,,36.8,4,21.3,1.6,2,1,"c(""Peel bas; slice lengthwise then in half."", ""Fry in butter until soft and golden."", ""Add sugar and stir until syrup thickens."", ""Sprinkle with lime juice and serve."")",0
Thai Beef Salad,,PT30M,PT1H30M,Make and share this Thai Beef Salad recipe from Food.com.,character(0),Meat,"c(""Thai"", ""Asian"", ""Weeknight"", ""< 4 Hours"")","c(""1"", ""1"", ""1"", ""3/4"", ""1/4"", ""3"", ""1"", ""1"", ""1"", ""2"", ""3"", ""1/4"", ""3"", ""2"")","c(""romaine lettuce"", ""red leaf lettuce"", ""Belgian endive"", ""fresh lime juice"", ""soy sauce"", ""beef"", ""brown sugar"", ""garlic cloves"", ""cilantro"", ""tomatoes"", ""green onions"")",4.5,3,1259.9,122.9,,,,26.5,12.7,11.1,18.2,4,1,"c(""Tear romaine lettuce, red leaf lettuce, and Belgian endive into bite-size pieces."", ""In small bowl, combine 2 tablespoons oil,  2 tablespoons lime juice, and 2 tablespoons soy sauce."", ""Add beef strips; stir; marite at least 1 hour at room  temperature."", ""In food processor, combine 1/2 cup oil, 2 tablespoons lime juice, 1 tablespoon soy  sauce, ginger, brown sugar, garlic and jalapenos; puree."", ""Reserve maride."", ""Stir-fry beef in 2 tablespoons oil until just browned."", ""Mix reserved maride with  dressing."", 
""Top greens with beef."", ""Pour dressing into a wok; stir to heat; mix in beef juices."", ""Pour hot dressing over salad."", ""Add cilantro, tomatoes, and  green onions; toss."")",60
Feijoada (Brazilian Bean Soup),,PT20M,PT2H33M,Make and share this Feijoada (Brazilian Bean Soup) recipe from Food.com.,character(0),Poultry,"c(""Black Beans"", ""Beans"", ""Meat"", ""Brazilian"", ""South American"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""Weeknight"", ""For Large Groups"", ""< 4 Hours"")","c(""2"", ""1"", ""4"", ""3/4"", ""4"", ""2"", ""6"", ""1"", ""1/4"", ""1"", ""1/2"", ""1/2"")","c(""dried black beans"", ""onions"", ""turkey Polish kielbasa"", ""turkey Polish kielbasa"", ""garlic"", ""cumin"", ""water"", ""salt"", ""pepper"", ""bay leaf"", ""red wine vinegar"")",3,6,286.9,5.8,,,,43.2,10,3.1,16.6,15,1,"c(""Sort and wash beans; place in a large Dutch oven."", ""Cover with water to 2 inches above beans, and bring to a boil; cook 2 minutes."", ""Remove from heat; cover and let stand 1 hour."", ""Drain beans; set aside. Wipe pan with a paper towel."", ""Heat oil in pan over medium heat. Add onion, kielbasa, and garlic; saute 10 minutes or until onion is tender."", ""Add cumin, and saute 1 minute. Return beans to pan."", ""Add water and next 3 ingredients; bring to a boil."", ""Cover, reduce heat, and simmer 1 hour and 10 minutes or until beans are tender; remove bay leaf."", 
""Stir in vinegar and hot sauce."")",133
Thai Coconut Custard,,PT15M,PT45M,Make and share this Thai Coconut Custard recipe from Food.com.,character(0),Dessert,"c(""Coconut"", ""Fruit"", ""Nuts"", ""Thai"", ""Asian"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""1 1/2"", ""6"", ""3/4"", ""1/2"")","c(""coconut milk"", ""eggs"", ""palm sugar"", ""salt"")",4,4,419.3,25.2,,,,40.4,0,37.7,11.1,4,1,"c(""Beat coconut milk, eggs, palm sugar and salt together."", ""Cook in a double boiler, stirring constantly, until it resembles  soft scrambled eggs."", ""Pour into a small casserole dish."", ""Bake at 350 degrees Fahrenheit for 30  minutes."", ""Brown under a broiler."")",30
Feijoada (Brazilian Bean Soup) II,,PT30M,PT2H30M,Make and share this Feijoada (Brazilian Bean Soup) II recipe from Food.com.,character(0),Pork,"c(""Black Beans"", ""Beans"", ""Meat"", ""Brazilian"", ""South American"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""6"", ""1"", ""1"", ""3/4"", ""1"", ""1"", ""1"", ""6"", ""1/8"")","c(""black beans"", ""water"", ""ham"", ""hot Italian sausage"", ""cherry tomatoes"", ""onion"", ""red pepper flakes"", ""garlic cloves"", ""orange zest"")",5,1,293.8,15.5,,,,12.6,3.9,1.3,25.2,1,1,"c(""Soak black beans overnight; drain."", ""Preheat oven to 350 degrees Fahrenheit."", ""Combine black beans, water, ham, pork loin, Italian sausage, cherry tomatoes, onion, red pepper flakes, garlic, and orange zest in a Dutch oven."", ""Bring to boil, uncovered, on stove top."", ""Cover and transfer to oven."", ""Bake 90 minutes."", ""Remove cover and bake another 30 minutes."", ""Cool overnight in refrigerator."", ""Remove fat and reheat."")",120
Bean Curd With Broccoli,,PT1H5M,PT1H6M,Make and share this Bean Curd With Broccoli recipe from Food.com.,character(0),Soy/Tofu,"c(""Beans"", ""Vegetable"", ""Chinese"", ""Asian"", ""Vegan"", ""Free Of..."", ""< 4 Hours"")","c(""1 1/2"", ""3/4"", ""1"", ""2"", ""1"", ""1"", ""4"", ""2"", ""2"", ""2"", ""1/2"", ""1/2"")","c(""cornstarch"", ""dry sherry"", ""soy sauce"", ""scallion"", ""gingerroot"", ""garlic cloves"", ""broccoli"", ""salt"", ""medium firm tofu"")",5,4,465.6,39.2,,,,13.7,3.1,2.4,12.9,1,1,"c(""Put cornstarch into a cup and slowly add 1/4 cup of the vegetable stock (make  sure it is room temperature or cooler) and mix well."", ""Add wine, soy sauce and  sesame oil."", ""Mix well."", ""Cut scallion into 1 1/2-inch lengths."", ""Heat vegetable oil  in a wok over medium heat. When hot, put in ginger and garlic. Stir fry for 10  seconds."", ""Put in scallion and broccoli."", ""Fry for 1 minute. Add 1/2 cup vegetable  stock and the salt. Bring to a simmer."", ""Cover and cook over a medium heat for a  minute, until broccoli is tender-crisp."", 
""Remove broccoli with a slotted spoon."", ""Turn heat to low and add tofu."", ""Let it heat through."", ""Add cornstarch mixture.Stir  very gently."", ""Put broccoli back in wok."", ""Serve as soon as the sauce is thick and  everything is heated through."")",1
Cauliflower and Potatoes,,PT20M,PT35M,Make and share this Cauliflower and Potatoes recipe from Food.com.,character(0),Potato,"c(""Cauliflower"", ""Vegetable"", ""Asian"", ""Indian"", ""Broil/Grill"", ""< 60 Mins"", ""Oven"", ""Stove Top"")","c(""3 -4"", ""1"", ""1 -2"", , ""2"", ""1"", , )","c(""cumin seed"", ""fresh ginger"", ""cauliflower"", ""potatoes"", ""garam masala"", ""salt"")",4,1,698.2,41.7,,,,75.7,9.6,3.4,9,1,1,"c(""Put oil, cumin seed and ginger in a large frying pan and cook over medium heat 3 to 5 minutes."", ""Add cauliflower and potatoes."", ""Add some garam masala and red peppers and mix."", ""Cook over medium heat 7 to 10 minutes."", ""Cover and reduce heat to low. The steam should cook the vegetables. If it seems too dry, add a little water."")",15
Curried Vegetables,,PT30M,PT1H5M,Make and share this Curried Vegetables recipe from Food.com.,character(0),Cauliflower,"c(""Vegetable"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2"", ""2"", ""2"", ""1/2"", ""1"", ""1/3"", ""1/2"", ""1/2"", ""1/4"", ""1/8"", ""1/2"", ""1/2"", ""2"")","c(""cauliflower"", ""carrots"", ""celery"", ""onion"", ""mayonise"", ""salt"", ""curry powder"", ""ginger"", ""cheddar cheese"", ""butter"")",4.63201371,0,241.8,15,,,,21.6,3.1,5.6,6.4,6,1,"c(""Cook the cauliflower, carrots, celery, and onion in a small amount of water until crisp- tender-drain; set aside."", ""Combine the soup, mayonise, salt, curry powder, coriander, and ginger in a mixing bowl; mix well."", ""Stir in the vegetables."", ""Spoon into an oven-proof casserole dish."", ""Combine cheddar cheese, bread crumbs and melted butter."", ""Sprinkle over the vegetables."", ""Bake uncovered at 350 degrees Fahrenheit for 30 to 35 minutes."")",35
Scrambled Tofu on Toast,,PT15M,PT15M,"Tofu is a wonderfully versatile food!  I make tofu ""egg salad"" fairly often, and it's delicious.  So scrambled tofu on toast makes perfect sense to me.  :)",character(0),Breakfast,"c(""Soy/Tofu"", ""Beans"", ""< 15 Mins"")","c(""10"", ""1"", ""1"", ""1"", ""2"", , ""4"")","c(""plain firm tofu"", ""butter"", ""turmeric"", ""herbs"")",4.5,2,352.7,21,,,,28.9,5.4,4,17.3,2,1,"c(""Crumble the tofu and fry it in the vegetable oil and butter until evenly cooked."", ""Add the turmeric, herbs, and salt and pepper to taste. Saute a further few minutes."", ""Serve on crispy wholemeal toast spread with butter."", ""This is the basic recipe... you can also add grated cheese, fried mushrooms, sweet or hot peppers, onions, garlic, or anything you like to this mixture to make it to your taste!  Experiment and enjoy!"")",0
Crisp Sauteed Cucumbers With Lemon,,PT35M,PT1H5M,Make and share this Crisp Sauteed Cucumbers With Lemon recipe from Food.com.,character(0),Vegetable,"c(""Low Cholesterol"", ""Healthy"", ""Weeknight"", ""Stove Top"", ""< 4 Hours"")","c(""1"", ""1"", ""1"", ""2"", ""2"", , , )","c(""cucumber"", ""salt"", ""lemon"", ""olive oil"", ""flour"", ""salt"", ""pepper"", ""fresh parsley leaves"")",4,2,299.6,6.5,,,,53.2,2.7,2.4,7.4,4,1,"c(""Peel the cucumbers if waxed."", ""Cut cucumbers in half lengthwise; scoop out the seeds with a spoon."", ""Cut them into inch chunks."", ""If the cucumbers are not super-firm, place the chunks in a colander and sprinkle them with 1 tablespoon  of salt. Shake to distribute the salt. Let cucumber drain for about 20 minutes. Rinse and dry."", ""If the cucumbers are already firm, proceed with the recipe."", ""Remove a few strips of zest from the lemon with a zester or vegetable peeler; mince enough to measure 1 teaspoon."", 
""Cut the lemon in half through its equator and section it as you would an orange. Set the zest and lemon sections aside."", ""Place  the butter or oil in a large skillet over medium high heat."", ""Place about 2 cups flour in a bag, and, when the butter melts or the oil is hot, put a few chunks of cucumber at a time in the bag."", ""Shake well; add cucumbers to the skillet."", ""Repeat until all the cucumbers are used up."", ""Cook over medium high heat, stirring and turning occasiolly, for about 10 minutes, until the exteriors of the cucumbers are crisp and the interiors are tender enough to be easily pierced  with a thin-bladed knife."", 
""Add the lemon zest and lemon sections, along with salt and  pepper, and cook for 1 minute more."", ""Garnish with parsley and serve."")",30
Tutti Frutti Trifle,,PT30M,PT30M,This is one of the Zaar recipes that I adopted.  I hope to make this soon as it looks like a dish my family would enjoy.  I’ll edit the recipe accordingly if needed.,character(0),Dessert,"c(""Pineapple"", ""Tropical Fruits"", ""Fruit"", ""< 30 Mins"")","c(""1/2"", ""1"", ""1"", ""6"", ""6"", ""1/2"", ""2"", ""3"", ""6"")","c(""grapefruit"", ""orange"", ""fresh pineapple"", ""marshmallows"", ""maraschino cherries"", ""moist coconut"", ""maraschino juice"", ""confectioners' sugar"")",5,1,184.2,3.6,,,,36.5,2.5,28.1,3.9,4,1,"c(""Remove segments from membrane of grapefruit and orange; slice pineapple."", ""Cut marshmallows and cherries into eighths."", ""Soak marshmallows and coconut in maraschino juice."", ""Beat egg whites until stiff and fold in sugar."", ""Combine  with fruits and coconut marshmallow mixture. Freeze until firm."", ""For an extra taste treat add 1 Tbsp of brandy or some people  like to add 1/2 cup of seedless raisins."")",0
Creamed Cucumbers,,PT35M,PT1H5M,Make and share this Creamed Cucumbers recipe from Food.com.,character(0),Vegetable,"c(""Low Protein"", ""Free Of..."", ""Weeknight"", ""< 4 Hours"")","c(""1"", ""2"", ""1/2"", , ""1/2"", , ""1"")","c(""salt"", ""butter"", ""onion"", ""pepper"", ""sour cream"", ""yogurt"", ""fresh dill"", ""cucumber"")",5,5,357.1,33.8,,,,13.6,1.8,5.6,3.3,1,1,"c(""Peel the cucumbers if waxed."", ""Cut them in half lengthwise and scoop  out the seeds with a spoon."", ""Cut them into 3/4 inch chunks."", ""If the  cucumbers are not super-firm, place the chunks in a colander and sprinkle  them with 1 tablespoon of salt. Shake to distribute the salt and let  them drain for about 20 minutes."", ""Rinse and dry."", ""If the cucumbers are  already firm, proceed with the recipe.  Place butter in a medium to large skillet over medium heat. When it  melts, add the onion and cook, stirring occasiolly, until the onion  softens, about 5 minutes."", 
""Do not let the onion brown."", ""Add the cucumbers  and cook, stirring for about 5 minutes, until the cucumbers are just  tender."", ""Add pepper and, if you did not salt them earlier, salt.  Turn heat to low, then stir in the cream or yogurt and a good handful  of dill."", ""Stir until well blended, then serve, garnished with more dill."")",30
Virginia Fried Soft Shell Crabs,,PT50M,PT1H,Make and share this Virginia Fried Soft Shell Crabs recipe from Food.com.,character(0),Lunch/Scks,"c(""Crab"", ""Healthy"", ""< 60 Mins"")","c(""12"", ""1/4"", ""3/4"", ""2"", ""2"", ""3/4"")","c(""soft shelled crabs"", ""milk"", ""flour"", ""eggs"", ""salt"")",5,3,137.8,2.8,,,,15.1,0.6,0.3,12.1,6,1,"c(""Dress fresh crabs or thaw frozen crabs.  Rinse in cold water; drain."", ""Combine eggs, milk, and salt."", ""Combine flour and crumbs."", ""Dip crabs in egg mixture and roll in flour/crumb mixture. For heavier breading, let crabs sit several minutes and repeat dipping/rolling procedure. Additiol spices, such as cayenne pepper and garlic, may also be added."", ""Place crabs in a heavy frying pan which contains 1/8 to 1/4 inch of fat, hot but not smoking."", ""Fry at moderate heat. When crabs are brown on one side, turn carefully and brown the other side. Cooking time is approximately 8 to 10 minutes."", 
""Drain on absorbent paper."")",10
Blue Jimmy Pillows,,PT30M,PT45M,Make and share this Blue Jimmy Pillows recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/29/8/picQuJ2iT.jpg""",< 60 Mins,"""Oven""","c(""2"", ""1"", ""1/2"", ""3"", ""3"", ""1"", ""1"", ""1/2"", ""1/2"", ""1"", ""5"")","c(""chicken broth"", ""Worcestershire sauce"", ""parsley"", ""season salt"", ""celery seed"", ""tarragon"", ""all-purpose flour"", ""eggs"")",4.5,3,462,34.3,,,,25.8,1,1.2,12.5,4,1,"c(""In saucepan, combine chicken broth, vegetable oil, Worcestershire sauce,  parsley, season salt, celery seed, red pepper, and tarragon."", ""Bring to a  boil, incorporate flour until blended."", ""Once flour and ingredients are  combined set aside to cool."", ""While that is cooling beat eggs to a fluffy  consistency."", ""The reason for letting the flour mixture cool is so that it  doesn't cook  the eggs."", ""Combine beaten eggs and flour mixture thoroughly."", ""Incorporate  crab meat. After everything is combined, drop 1 large tablespoon per  serving onto ungreased cookie sheet, and bake at 425 degrees for 12 to 15  minutes or until golden brown.""
)",15
Apricot Salsa,,PT25M,PT35M,Make and share this Apricot Salsa recipe from Food.com.,character(0),Sauces,"c(""Fruit"", ""Tex Mex"", ""Southwestern U.S."", ""Mexican"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 60 Mins"")","c(""1/2"", , ""1"", ""1"", ""1"", ""2"", ""2"", )","c(""red bell pepper"", ""olive oil"", ""onion"", ""tomatoes"", ""apricots"", ""dark rum"", ""apple cider"")",4.63201371,0,40.8,0.2,,,,5.7,1.3,3.7,0.8,4,1,"c(""Cut a red bell pepper in half; remove seeds; and roast half of it. (Brush with olive oil; put under broiler very close to heat until blackened, about 5 minutes). Chop."", ""Saute onion in about a tablespoon  of olive oil until translucent."", ""Add tomato and jalapeno; saute about another 5 minutes, until tomato is cooked."", ""Add apple cider to cover apricots and boil down until cider is almost all boiled off."", ""Add chopped roasted bell pepper; stir."", ""Add dark rum and flambe. (Light and swirl until flame goes out)."", 
""Serve hot over grilled shark, swordfish, shrimp, or marlin."")",10
English Trifle - Guy Attwood,,PT1H35M,PT5H42M,Make and share this English Trifle - Guy Attwood recipe from Food.com.,character(0),Dessert,"c(""European"", ""Low Protein"", ""Weeknight"")","c(""8"", ""20"", ""6"", ""1/2"", ""5"", ""1"", ""1/4"", ""1"", ""1 -2"", ""3/4"", ""3/4"", ""1"")","c(""sugar"", ""cornstarch"", ""vanilla"", ""nutmeg"", ""cream sherry"", ""frozen raspberries"")",5,3,674,40.4,,,,66.7,2.1,35.7,7.6,8,1,"c(""This recipe was given to me by my Grandmother who came over to America in 1895 from England. I have altered it slightly. As far as I know it is  relatively origil, or as origil as any type of recipe such as this can be. It is not only addictive and decadent but pretty to look at as  well. This is a special occasion dessert."", ""Whisk yolks in a medium saucepan."", ""Gradually add sugar, whisking until  mixture is thick and lemon colored, about 1 or 2 minutes."", ""Blend in whole milk,  whipping cream and cornstarch; mix."", 
""Place over medium low heat and cook, stirring constantly, until mixture thickens, about 3 to 5 minutes. DO NOT BOIL  OR MIXTURE WILL SEPARATE."", ""Remove from heat and stir until slightly cooled."", ""Blend in vanilla and nutmeg."", ""Transfer to a bowl; repeat process for the  two required for the trifle."", ""ASSEMBLY:"", ""Whip the cream as your MaMa or Daddy taught you to do."", ""In your  prettiest large crystal bowl (salad bowl size) place a little less than  half the whipped cream around the bottom and half way up the sides."", 
""Break 1/2 of the cakes into bite sized pieces and drop randomly all over the  cream."", ""Drizzle sherry over all."", ""Drop dollops of jam and slightly less  than half of the drained raspberries over the cake."", ""Drizzle 1/2 of the  thick but liquid custard over all."", ""Repeat for the next layer, reserving  some raspberries for the top."", ""(Try to plan to end with a layer of jam and  raspberries as the top of the Trifle.)"", ""Filly, completely cover the top  with the remaining whipped cream."", ""Drizzle a little chocolate on top in any  pattern you think looks good."", 
""Add a few raspberries and stand back to receive raves."", ""To serve, merely scoop down and place on a pretty  plate."", ""NOTE: Make about 4 hours before serving. Cover with plastic wrap and  refrigerate."")",247
Rote Gr&uuml;tze,,PT20M,PT24H25M,Make and share this Rote Gr&uuml;tze recipe from Food.com.,character(0),Dessert,"c(""Fruit"", ""Weeknight"")","c(""2"", ""1"", ""1"", ""1"", ""3/4"", ""1"", ""1/4"", ""2/3"", ""1"", ""1"", ""1"")","c(""raspberries"", ""strawberries"", ""dark sweet red cherries"", ""dark sweet cherries"", ""cranberry juice"", ""sugar"", ""lemon zest"", ""lemon juice"", ""cornstarch"", ""dry red wine"", ""heavy cream"")",5,4,406,11.8,,,,70.6,6.6,50.7,3.1,8,1,"c(""FOR DESSERT:"", ""Combine raspberry juice, pureed strawberries and cherry juice in  1 quart measure."", ""Add enough grape juice to total 1 quart."", ""Pour mixture into  heavy saucepan (NOT ALUMINUM)."", ""Add 2 more cups grape juice."", ""Stir in sugar, lemon zest, lemon juice."", ""Bring to a boil, uncovered, over medium heat stirring often."", ""Combine cornstarch with wine in separate bowl to make a thin, smooth  paste."", ""As soon as mixture boils, add corn starch paste, whisking vigorously."", ""Immediately reduce heat to low; cook and stir for 3 minutes until mixture boils again, thickens, and starch taste is gone."", 
""Stir in raspberries and cherries gently."", ""Heat and stir 1 minute more."", ""Remove from heat and stir 1 minute more."", ""Cool mixture to room temperature."", ""Chill for 24 hours."", ""FOR TOPPING:"", ""Shortly before serving, beat heavy cream with vanilla sugar until slightly thickened, but still thin enough to pour."", ""Spoon Rote Grutze into stemmed goblets and top each with a generous ladle of whipped cream and serve."")",1445
Twice Baked Ham and Cheese Potatoes,,PT25M,PT1H55M,Make and share this Twice Baked Ham and Cheese Potatoes recipe from Food.com.,character(0),Potato,"c(""Cheese"", ""Vegetable"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""6"", ""1"", ""1 1/2"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""1/4"", )","c(""potatoes"", ""cheddar cheese"", ""milk"", ""ham"", ""sour cream"", ""pepper"", ""butter"", ""paprika"", ""parsley flakes"")",5,3,456,25.2,,,,41.6,4.7,3.1,17.1,6,1,"c(""Bake potatoes at 400 degrees Fahrenheit for 1 hour until soft."", ""Slice potatoes in half lengthwise."", ""Scoop out insides, leaving a firm shell."", ""Place potato pulp, cheddar cheese, milk, ham, sour cream, onion salt, pepper, and butter in a mixing bowl."", ""Beat at high speed until smooth."", ""Fill potato shells with mixture."", ""Bake at 350 degrees Fahrenheit for 20 to 30   minutes."", ""Garnish with paprika or parsley."")",90
Rock Candy,,PT45M,PT1H45M,Make and share this Rock Candy recipe from Food.com.,character(0),Candy,"c(""Dessert"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Kid Friendly"", ""Free Of..."", ""< 4 Hours"", ""Easy"")","c(""1 1/2"", ""6"", , , ""3"")","c(""water"", ""sugar"")",5,3,1548,0,,,,399.9,0,399.2,0,1,1,"c(""* Candy flavoring is carried by a lot of grocery stores, near the baking aisle with candy-making and cake decorating supplies."", ""Bring the water to a boil in the saucepan."", ""Remove from heat; add 3 cups of sugar, stirring until dissolved."", ""Slowly add the remaining sugar, reheating the water if necessary."", ""When all the sugar is dissolved, pour the mixture into 3 heat proof jars or glasses."", ""Stir 3 drops of liquid food coloring and 1/2 teaspooon candy flavoring into each jar."", ""Tie each length of string around a pencil."", 
""Lay one string on top of each jar so the strings hang down into the liquid."", ""Crystals will begin to form in 1 hour, and continue to solidify for several days."", ""If a layer forms on the surface of the jar, break it."", ""When liquid completely evaporates, candy is ready."")",60
